DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
04/18/2007;00:00:01;86837;1.3575;1.3615;1.3554;1.3621
04/19/2007;00:00:01;96343;1.3613;1.3624;1.3557;1.363
04/20/2007;00:00:01;75881;1.3623;1.3586;1.3581;1.3639
04/23/2007;00:00:01;81839;1.3598;1.3578;1.3539;1.3608
04/24/2007;00:00:01;85751;1.3578;1.3633;1.3544;1.3646
04/25/2007;00:00:01;70134;1.3633;1.3652;1.3616;1.3666
04/26/2007;00:00:01;58148;1.3659;1.3593;1.3583;1.3659
04/27/2007;00:00:01;78991;1.3593;1.3655;1.3582;1.3682
04/30/2007;00:00:01;93665;1.3651;1.3651;1.3586;1.368
05/01/2007;00:00:01;80985;1.3653;1.3604;1.3587;1.3674
05/02/2007;00:00:01;90532;1.3603;1.3594;1.3556;1.3616
05/03/2007;00:00:01;81406;1.3593;1.3552;1.3542;1.3623
05/04/2007;00:00:01;75757;1.3551;1.3584;1.353;1.3611
05/07/2007;00:00:01;74429;1.3584;1.3596;1.3584;1.3628
05/08/2007;00:00:01;85185;1.3596;1.3539;1.3513;1.3623
05/09/2007;00:00:01;78213;1.3539;1.3533;1.3517;1.3567
05/10/2007;00:00:01;93372;1.3534;1.3477;1.3464;1.3565
05/11/2007;00:00:01;77232;1.3476;1.3522;1.346;1.3532
05/14/2007;00:00:01;77942;1.3526;1.3542;1.3521;1.3559
05/15/2007;00:00:01;78049;1.3541;1.3591;1.3524;1.3609
05/16/2007;00:00:01;78964;1.359;1.352;1.3502;1.3611
05/17/2007;00:00:01;77322;1.3521;1.3495;1.3475;1.3545
05/18/2007;00:00:01;76670;1.3495;1.3507;1.3461;1.3522
05/21/2007;00:00:01;78377;1.3511;1.3461;1.3434;1.3531
05/22/2007;00:00:01;68502;1.3463;1.3448;1.3435;1.3478
05/23/2007;00:00:01;85513;1.3447;1.3455;1.3411;1.3502
05/24/2007;00:00:01;78380;1.3455;1.3422;1.3411;1.3463
05/25/2007;00:00:01;75742;1.3421;1.345;1.3408;1.3475
05/28/2007;00:00:01;41552;1.345;1.3451;1.3441;1.3462
05/29/2007;00:00:01;89551;1.3451;1.3452;1.3416;1.3521
05/30/2007;00:00:01;82132;1.3453;1.343;1.3404;1.3458
05/31/2007;00:00:01;73366;1.3431;1.3455;1.3419;1.3477
06/01/2007;00:00:01;67175;1.3454;1.3442;1.339;1.3464
06/04/2007;00:00:01;68830;1.3442;1.3492;1.3429;1.3502
06/05/2007;00:00:01;72186;1.3491;1.3519;1.3485;1.3555
06/06/2007;00:00:01;70824;1.3519;1.3495;1.3482;1.354
06/07/2007;00:00:01;90174;1.3497;1.3424;1.3419;1.3513
06/08/2007;00:00:01;84624;1.3424;1.3369;1.3319;1.3431
06/11/2007;00:00:01;76667;1.3369;1.335;1.3328;1.3374
06/12/2007;00:00:01;77526;1.335;1.3301;1.3297;1.337
06/13/2007;00:00:01;91468;1.33;1.3306;1.3259;1.3317
06/14/2007;00:00:01;73999;1.3306;1.3307;1.3276;1.3326
06/15/2007;00:00:01;67533;1.3306;1.3376;1.3303;1.3391
06/18/2007;00:00:01;81974;1.3377;1.3416;1.3373;1.3421
06/19/2007;00:00:01;87777;1.3416;1.3425;1.338;1.3437
06/20/2007;00:00:01;76517;1.3421;1.3399;1.3387;1.3439
06/21/2007;00:00:01;76102;1.3396;1.3389;1.3369;1.3407
06/22/2007;00:00:01;67670;1.3389;1.3464;1.3377;1.3472
06/25/2007;00:00:01;62789;1.3465;1.3464;1.3436;1.3475
06/26/2007;00:00:01;68442;1.3463;1.3449;1.3429;1.3479
06/27/2007;00:00:01;74869;1.345;1.3454;1.3412;1.3457
06/28/2007;00:00:01;74428;1.3454;1.3434;1.3421;1.3483
06/29/2007;00:00:01;76837;1.3438;1.3543;1.3426;1.3548
07/02/2007;00:00:01;78517;1.354;1.362;1.3525;1.364
07/03/2007;00:00:01;73983;1.3618;1.3607;1.3581;1.3636
07/04/2007;00:00:01;58923;1.3606;1.3618;1.36;1.3632
07/05/2007;00:00:01;80891;1.3618;1.3594;1.3575;1.3661
07/06/2007;00:00:01;70805;1.3594;1.3624;1.3566;1.3642
07/09/2007;00:00:01;61643;1.3624;1.362;1.3606;1.3639
07/10/2007;00:00:01;83368;1.362;1.3744;1.3591;1.3785
07/11/2007;00:00:01;91252;1.3744;1.3745;1.3727;1.3781
07/12/2007;00:00:01;85864;1.3746;1.3785;1.3738;1.3799
07/13/2007;00:00:01;70226;1.3785;1.3785;1.3761;1.3815
07/16/2007;00:00:01;75601;1.3785;1.3775;1.3757;1.3805
07/17/2007;00:00:01;77837;1.3775;1.3794;1.3755;1.38
07/18/2007;00:00:01;89157;1.3794;1.3806;1.3751;1.3834
07/19/2007;00:00:01;83040;1.3806;1.3797;1.3781;1.3832
07/20/2007;00:00:01;78831;1.3798;1.3833;1.3777;1.3844
07/23/2007;00:00:01;81200;1.3834;1.3799;1.3791;1.3847
07/24/2007;00:00:01;92562;1.3801;1.3821;1.3796;1.3853
07/25/2007;00:00:01;106253;1.3819;1.3721;1.3694;1.3827
07/26/2007;00:00:01;107714;1.3721;1.3751;1.3688;1.3773
07/27/2007;00:00:01;103056;1.3751;1.3634;1.362;1.3753
07/30/2007;00:00:01;108933;1.3623;1.372;1.3606;1.3729
07/31/2007;00:00:01;94298;1.3721;1.3672;1.3663;1.3726
08/01/2007;00:00:01;106911;1.3672;1.3665;1.3636;1.3711
08/02/2007;00:00:01;90406;1.3663;1.3703;1.3648;1.3708
08/03/2007;00:00:01;88469;1.3703;1.3782;1.3681;1.382
08/06/2007;00:00:01;103221;1.3786;1.3809;1.3777;1.3841
08/07/2007;00:00:01;85420;1.3811;1.375;1.3731;1.3814
08/08/2007;00:00:01;87904;1.3753;1.38;1.3719;1.3827
08/09/2007;00:00:01;101416;1.3799;1.3663;1.3653;1.3818
08/10/2007;00:00:01;98261;1.3666;1.3693;1.364;1.3706
08/13/2007;00:00:01;95651;1.3689;1.3608;1.3598;1.371
08/14/2007;00:00:01;103951;1.3607;1.353;1.3524;1.3626
08/15/2007;00:00:01;109051;1.3531;1.3429;1.3413;1.3534
08/16/2007;00:00:01;129367;1.343;1.343;1.3359;1.3448
08/17/2007;00:00:01;111120;1.3426;1.3472;1.3368;1.3548
08/20/2007;00:00:01;103313;1.3476;1.3472;1.3457;1.3509
08/21/2007;00:00:01;102114;1.3472;1.3467;1.3449;1.3522
08/22/2007;00:00:01;91701;1.3464;1.3547;1.3446;1.356
08/23/2007;00:00:01;103107;1.3549;1.3562;1.3532;1.3589
08/24/2007;00:00:01;89566;1.3562;1.3679;1.3549;1.3684
08/27/2007;00:00:01;79273;1.3675;1.3635;1.363;1.3687
08/28/2007;00:00:01;97154;1.3635;1.3575;1.3571;1.3681
08/29/2007;00:00:01;104165;1.3577;1.3669;1.3557;1.3681
08/30/2007;00:00:01;96390;1.3668;1.3669;1.3588;1.3673
08/31/2007;00:00:01;91392;1.3668;1.3629;1.3616;1.372
09/03/2007;00:00:01;75658;1.3628;1.3612;1.3601;1.3655
09/04/2007;00:00:01;84824;1.361;1.3623;1.3548;1.3627
09/05/2007;00:00:01;85755;1.3622;1.3651;1.3566;1.3672
09/06/2007;00:00:01;87636;1.3651;1.3691;1.3631;1.3711
09/07/2007;00:00:01;75764;1.3691;1.3765;1.366;1.3799
09/10/2007;00:00:01;88555;1.3769;1.3791;1.3765;1.3816
09/11/2007;00:00:01;85402;1.3792;1.3838;1.3775;1.3849
09/12/2007;00:00:01;87997;1.3836;1.3893;1.3821;1.3915
09/13/2007;00:00:01;86982;1.3894;1.3872;1.386;1.3928
09/14/2007;00:00:01;94851;1.3871;1.3874;1.3842;1.3896
09/17/2007;00:00:01;59095;1.387;1.3866;1.3847;1.3891
09/18/2007;00:00:01;97005;1.3866;1.3976;1.3827;1.399
09/19/2007;00:00:01;98591;1.3973;1.3974;1.3932;1.3988
09/20/2007;00:00:01;100148;1.3973;1.4068;1.3965;1.41
